run,N,minR,repetition,Module,Name,
LoRaSim-MinimalTopology-0-20211223-02:38:39-6592,0,0,0,LoRa.server,totalSuccessProb,0
LoRaSim-MinimalTopology-6-20211223-02:39:42-6592,1200,0,0,LoRa.server,totalSuccessProb,0.90878712603067
LoRaSim-MinimalTopology-7-20211223-02:40:06-6592,1400,0,0,LoRa.server,totalSuccessProb,0.90271630926549
LoRaSim-MinimalTopology-8-20211223-02:40:31-6592,1600,0,0,LoRa.server,totalSuccessProb,0.89441575755712
LoRaSim-MinimalTopology-9-20211223-02:40:58-6592,1800,0,0,LoRa.server,totalSuccessProb,0.88644461258442
LoRaSim-MinimalTopology-1-20211223-02:38:39-6592,200,0,0,LoRa.server,totalSuccessProb,0.94989951090623
LoRaSim-MinimalTopology-10-20211223-02:41:37-6592,2000,0,0,LoRa.server,totalSuccessProb,0.87921705802408
LoRaSim-MinimalTopology-2-20211223-02:38:42-6592,400,0,0,LoRa.server,totalSuccessProb,0.94289800413036
LoRaSim-MinimalTopology-3-20211223-02:38:48-6592,600,0,0,LoRa.server,totalSuccessProb,0.93321505942971
LoRaSim-MinimalTopology-4-20211223-02:39:00-6592,800,0,0,LoRa.server,totalSuccessProb,0.9241725743382
LoRaSim-MinimalTopology-11-20211223-02:42:18-6592,0,100,0,LoRa.server,totalSuccessProb,0
LoRaSim-MinimalTopology-16-20211223-02:42:46-6592,1000,100,0,LoRa.server,totalSuccessProb,0.91788407014154
LoRaSim-MinimalTopology-17-20211223-02:43:00-6592,1200,100,0,LoRa.server,totalSuccessProb,0.90858113411179
LoRaSim-MinimalTopology-18-20211223-02:43:26-6592,1400,100,0,LoRa.server,totalSuccessProb,0.90201989658917
LoRaSim-MinimalTopology-19-20211223-02:43:53-6592,1600,100,0,LoRa.server,totalSuccessProb,0.89428847309866
LoRaSim-MinimalTopology-20-20211223-02:45:18-6592,1800,100,0,LoRa.server,totalSuccessProb,0.88659472213948
LoRaSim-MinimalTopology-12-20211223-02:42:18-6592,200,100,0,LoRa.server,totalSuccessProb,0.94631459206674
LoRaSim-MinimalTopology-21-20211223-02:45:33-6592,2000,100,0,LoRa.server,totalSuccessProb,0.87896854573371
LoRaSim-MinimalTopology-13-20211223-02:42:21-6592,400,100,0,LoRa.server,totalSuccessProb,0.94321542336144
LoRaSim-MinimalTopology-14-20211223-02:42:28-6592,600,100,0,LoRa.server,totalSuccessProb,0.93309518397799
LoRaSim-MinimalTopology-15-20211223-02:42:36-6592,800,100,0,LoRa.server,totalSuccessProb,0.92642373818488
LoRaSim-MinimalTopology-110-20211223-03:09:13-6592,0,1000,0,LoRa.server,totalSuccessProb,0
LoRaSim-MinimalTopology-115-20211223-03:09:39-6592,1000,1000,0,LoRa.server,totalSuccessProb,0.86675413018934
LoRaSim-MinimalTopology-116-20211223-03:09:55-6592,1200,1000,0,LoRa.server,totalSuccessProb,0.85931765386701
LoRaSim-MinimalTopology-117-20211223-03:10:15-6592,1400,1000,0,LoRa.server,totalSuccessProb,0.85248065569062
LoRaSim-MinimalTopology-118-20211223-03:10:37-6592,1600,1000,0,LoRa.server,totalSuccessProb,0.84467021213069
LoRaSim-MinimalTopology-119-20211223-03:11:02-6592,1800,1000,0,LoRa.server,totalSuccessProb,0.83726679898373
LoRaSim-MinimalTopology-111-20211223-03:09:13-6592,200,1000,0,LoRa.server,totalSuccessProb,0.89657072270299
LoRaSim-MinimalTopology-120-20211223-03:11:29-6592,2000,1000,0,LoRa.server,totalSuccessProb,0.82967193315959
LoRaSim-MinimalTopology-112-20211223-03:09:15-6592,400,1000,0,LoRa.server,totalSuccessProb,0.88948006110731
LoRaSim-MinimalTopology-113-20211223-03:09:20-6592,600,1000,0,LoRa.server,totalSuccessProb,0.88226598965745
LoRaSim-MinimalTopology-114-20211223-03:09:28-6592,800,1000,0,LoRa.server,totalSuccessProb,0.87474977020161
LoRaSim-MinimalTopology-0-20211223-03:33:33-24520,0,1040.5,0,LoRa.server,totalSuccessProb,0
LoRaSim-MinimalTopology-5-20211223-03:33:59-24520,1000,1040.5,0,LoRa.server,totalSuccessProb,0.8626667387484
LoRaSim-MinimalTopology-6-20211223-03:34:12-24520,1200,1040.5,0,LoRa.server,totalSuccessProb,0.85485506299864
LoRaSim-MinimalTopology-7-20211223-03:34:29-24520,1400,1040.5,0,LoRa.server,totalSuccessProb,0.84819610545559
LoRaSim-MinimalTopology-8-20211223-03:34:49-24520,1600,1040.5,0,LoRa.server,totalSuccessProb,0.8410376477875
LoRaSim-MinimalTopology-9-20211223-03:35:14-24520,1800,1040.5,0,LoRa.server,totalSuccessProb,0.83318067993619
LoRaSim-MinimalTopology-1-20211223-03:33:33-24520,200,1040.5,0,LoRa.server,totalSuccessProb,0.89325317629863
LoRaSim-MinimalTopology-10-20211223-03:35:42-24520,2000,1040.5,0,LoRa.server,totalSuccessProb,0.82611991495015
LoRaSim-MinimalTopology-2-20211223-03:33:36-24520,400,1040.5,0,LoRa.server,totalSuccessProb,0.88532808888357
LoRaSim-MinimalTopology-3-20211223-03:33:41-24520,600,1040.5,0,LoRa.server,totalSuccessProb,0.87763686398501
LoRaSim-MinimalTopology-4-20211223-03:33:49-24520,800,1040.5,0,LoRa.server,totalSuccessProb,0.86960661237235
LoRaSim-MinimalTopology-22-20211223-02:46:02-6592,0,200,0,LoRa.server,totalSuccessProb,0
LoRaSim-MinimalTopology-27-20211223-02:46:37-6592,1000,200,0,LoRa.server,totalSuccessProb,0.91572489732695
LoRaSim-MinimalTopology-28-20211223-02:46:52-6592,1200,200,0,LoRa.server,totalSuccessProb,0.90800126767139
LoRaSim-MinimalTopology-29-20211223-02:47:14-6592,1400,200,0,LoRa.server,totalSuccessProb,0.90032109171182
LoRaSim-MinimalTopology-30-20211223-02:47:39-6592,1600,200,0,LoRa.server,totalSuccessProb,0.89156429991783
LoRaSim-MinimalTopology-31-20211223-02:48:03-6592,1800,200,0,LoRa.server,totalSuccessProb,0.88531882761526
LoRaSim-MinimalTopology-23-20211223-02:46:02-6592,200,200,0,LoRa.server,totalSuccessProb,0.94827471063574
LoRaSim-MinimalTopology-32-20211223-02:48:31-6592,2000,200,0,LoRa.server,totalSuccessProb,0.87702457253512
LoRaSim-MinimalTopology-24-20211223-02:46:05-6592,400,200,0,LoRa.server,totalSuccessProb,0.93842952187759
LoRaSim-MinimalTopology-25-20211223-02:46:11-6592,600,200,0,LoRa.server,totalSuccessProb,0.93064869359504
LoRaSim-MinimalTopology-26-20211223-02:46:21-6592,800,200,0,LoRa.server,totalSuccessProb,0.92281280887111
